bankName,totalAssets,totalLoans,loansCI_US,loansCI_foreign,cdsSold,cdsBought,year,quarter,totalCI,cdsNetBuy,date,mon,leverage,loansCI_to_totalAssets,loansCI_to_totalLoans,netCDS_to_loansCI
ASSOCIATED BANC-CORP,20507556,14948306,3358054,0,0,0,2007,1,3358054,0,2007-03-01,3,0.7289169904010014,0.16374715738920814,0.22464445135120997,0
NORTHERN TRUST CORPORATION,59532356,21661983,5114528,273329,0,237750,2007,1,5387857,237750,2007-03-01,3,0.3638690697878646,0.08591173512434146,0.23610617735227657,0.0464852279623848
LASALLE BANK CORPORATION,118271714,67041016,26791287,45158,0,5633902,2007,1,26836445,5633902,2007-03-01,3,0.5668389654013131,0.22652319894510026,0.39962531295766757,0.21028859121250876
COMERICA INCORPORATED,57830077,48083296,20684380,1374638,6890,6999,2007,1,22059018,109,2007-03-01,3,0.8314582738667285,0.35767512465874807,0.4301780809701565,5.269676925293386e-6
BANK LEUMI LE-ISRAEL CORPORATION,5908228,3099909,2120954,105739,55e3,0,2007,1,2226693,-55e3,2007-03-01,3,0.5246766035433974,0.3589830995012379,0.6841987942226692,-0.025931726949287914
TD BANKNORTH INC.,41271671,26704439,4981611,73,0,0,2007,1,4981684,0,2007-03-01,3,0.6470404118117727,0.12070291508187299,0.18654617683599345,0
UNIONBANCAL CORPORATION,54616849,37251950,11192431,642538,0,0,2007,1,11834969,0,2007-03-01,3,0.6820596699014987,0.20492634058768203,0.3004522179375845,0
ABN AMRO NORTH AMERICA HOLDING COMPANY,156420349,67322026,26882387,45158,0,5633902,2007,1,26927545,5633902,2007-03-01,3,0.4303917388651268,0.17185990935233114,0.39931042776401293,0.2095759576707232
"AMERICAN CHARTERED BANCORP, INC.",2478219,1761902,490929,0,0,0,2007,1,490929,0,2007-03-01,3,0.7109549236770438,0.19809750469994783,0.2786358151588454,0
"JOHNSON FINANCIAL GROUP, INC.",4354282,3323271,713506,0,0,0,2007,1,713506,0,2007-03-01,3,0.7632190565516886,0.1638630662873925,0.21469991463230054,0
BOK FINANCIAL CORPORATION,18226127,11132233,4662139,0,0,0,2007,1,4662139,0,2007-03-01,3,0.61078434271856,0.2557942781809871,0.418796390625313,0
CITIGROUP INC.,2020966e3,739770000,45032000,119259000,118523e4,1248059e3,2007,1,164291000,62829e3,2007-03-01,3,0.3660477217330722,0.022282413459701944,0.06087297403246955,1.3952078521939955
"UTRECHT-AMERICA HOLDINGS, INC.",79592197,22523153,8204242,155710,0,2371e3,2007,1,8359952,2371e3,2007-03-01,3,0.2829819234666936,0.10307847137326791,0.36425814804881,0.2889968384647844
TAUNUS CORPORATION,545474e3,74682000,4936000,4000,932e3,1398e3,2007,1,4940000,466e3,2007-03-01,3,0.13691211680116744,0.009049010585289124,0.06609357007043197,0.09440842787682334
"METLIFE, INC.",537809444,56556713,991040,22429,995644,6071572,2007,1,1013469,5075928,2007-03-01,3,0.1051612492695461,0.0018427344686048318,0.01752294197153926,5.121819502744591
F.N.B. CORPORATION,6015804,4262504,695619,0,0,0,2007,1,695619,0,2007-03-01,3,0.7085510099730643,0.11563192550821137,0.16319492016898987,0
HSBC NORTH AMERICA HOLDINGS INC.,483547569,282945835,13450414,15291785,458052981,407249504,2007,1,28742199,-50803477,2007-03-01,3,0.5851458122003298,0.027816113371878,0.0475370630566094,-3.7770939243951895
REGIONS FINANCIAL CORPORATION,138069628,95568197,15167788,43357,142381,140506,2007,1,15211145,-1875,2007-03-01,3,0.6921739298088063,0.10985607928196923,0.15871166848528073,-1.2361723410163697e-4
ZIONS BANCORPORATION,48703130,36814457,8866441,9845,257,0,2007,2,8876286,-257,2007-06-01,6,0.7558950933954347,0.18205074293993015,0.2408412814563583,-2.898570012477385e-5
"BANK OF NEW YORK COMPANY, INC., THE",126457e3,39133000,4363000,737000,2e3,1794e3,2007,2,5100000,1792e3,2007-06-01,6,0.3094569695627763,0.03450184647745874,0.11149157999642245,0.4107265642906257
JPMORGAN CHASE & CO.,1458042e3,500268000,80170000,33350000,3202966e3,3265529e3,2007,2,113520000,62563e3,2007-06-01,6,0.34310945775224583,0.054984698657514666,0.160254103800363,0.7803791942122988
"COMMERCE BANCSHARES, INC.",15531107,10486706,2394751,0,9934,0,2007,2,2394751,-9934,2007-06-01,6,0.6752066031094885,0.1541906188657383,0.22836065014123597,-0.004148239211508837
KEYCORP,93490903,71237634,18770882,363997,3391206,4463706,2007,2,19134879,1072500,2007-06-01,6,0.7619739644615476,0.2007776307391105,0.2634967073723981,0.05713636684733301
MELLON FINANCIAL CORPORATION,43389057,7093175,1285925,129324,0,241667,2007,2,1415249,241667,2007-06-01,6,0.16347843190046743,0.029637081073230053,0.18129046583511615,0.1879324221863639
NATIONAL CITY CORPORATION,140648168,114116695,26054833,838458,912556,1556244,2007,2,26893291,643688,2007-06-01,6,0.8113628255719619,0.18524829274704807,0.22831745171028656,0.024705128603203865
"PNC FINANCIAL SERVICES GROUP, INC., THE",125736711,67357380,19267010,195317,1698500,3223050,2007,2,19462327,1524550,2007-06-01,6,0.535701780842669,0.15323297266778355,0.28604155921741614,0.07912748267634677
WACHOVIA CORPORATION,719922e3,451921000,66093000,7962000,161957e3,165899e3,2007,2,74055000,3942e3,2007-06-01,6,0.6277360602954208,0.09180577895938727,0.1462490125486534,0.059643229994099226
BANK OF AMERICA CORPORATION,1535684280,787689481,110527418,23053167,1197388448,1137347359,2007,2,133580585,-60041089,2007-06-01,6,0.512924102472417,0.07197274820056113,0.14031851467621667,-0.5432234832446733
BB&T CORPORATION,127577050,88541979,11065027,196699,30584,15003,2007,2,11261726,-15581,2007-06-01,6,0.6940274837833293,0.0867321120844227,0.12496927587308615,-0.0014081303190674546
HANCOCK HOLDING COMPANY,5904205,3441349,317259,0,0,0,2007,2,317259,0,2007-06-01,6,0.582864077382137,0.05373441470951636,0.0921903009546547,0
STATE STREET CORPORATION,112345777,12067912,16905,19401,0,202500,2007,2,36306,202500,2007-06-01,6,0.10741758455237707,1.504729456809044e-4,0.0014008222797779765,11.978704525288377
UNIVEST CORPORATION OF PENNSYLVANIA,1978272,1380736,413368,0,0,0,2007,2,413368,0,2007-06-01,6,0.6979505346079811,0.20895407709354427,0.2993823583943636,0
"COMMERCE BANCORP, INC.",48231325,16424956,2549282,5867,33622,0,2007,2,2555149,-33622,2007-06-01,6,0.34054540280616385,0.052855317576284706,0.15520784347915453,-0.013188811594794143
U.S. BANCORP,22253e4,150260000,32997000,529000,0,66e3,2007,2,33526000,66e3,2007-06-01,6,0.6752347998022739,0.1482811306340718,0.21959936110741382,0.0020001818347122466
WELLS FARGO & COMPANY,539865e3,378267000,67860000,1743000,616e3,1279e3,2007,2,69603000,663e3,2007-06-01,6,0.7006696118474063,0.12569809118946404,0.17939709252987968,0.009770114942528735
ZIONS BANCORPORATION,50044686,37846124,9247643,24258,353,0,2007,3,9271901,-353,2007-09-01,9,0.7562466072821398,0.18478771152645457,0.24434848334799095,-3.817188877209036e-5
JPMORGAN CHASE & CO.,1479575e3,519715000,89055000,37135000,3798489e3,3919398e3,2007,3,126190000,120909e3,2007-09-01,9,0.35125965226500855,0.06018958146765118,0.1713535303002607,1.3576890685531413
"COMMERCE BANCSHARES, INC.",16037069,10761827,2598904,0,21151,0,2007,3,2598904,-21151,2007-09-01,9,0.6710594685350546,0.16205604652570865,0.24149282459195823,-0.008138430661540403
KEYCORP,96829723,73790094,19459961,415427,3353206,4441706,2007,3,19875388,1088500,2007-09-01,9,0.7620603644606109,0.20097094566716875,0.2637205069829563,0.05593536389923906
NATIONAL CITY CORPORATION,154175761,123987829,27389614,876326,711506,1265239,2007,3,28265940,553733,2007-09-01,9,0.8041979374436167,0.1776518813485863,0.22090566647473117,0.02021689681351479
"PNC FINANCIAL SERVICES GROUP, INC., THE",131477883,68790260,19915653,216753,1859e3,3404800,2007,3,20132406,1545800,2007-09-01,9,0.5232078462960953,0.15147530934917777,0.28951268682514064,0.07761733948668417
WACHOVIA CORPORATION,754168e3,475627000,72277000,9973000,170561e3,151154e3,2007,3,82250000,-19407e3,2007-09-01,9,0.6306645203721187,0.09583673664223356,0.15196151606195613,-0.26850865420534886
BANK OF AMERICA CORPORATION,1582330249,821988217,122121017,25325582,1477762087,1438158729,2007,3,147446599,-39603358,2007-09-01,9,0.5194795571401606,0.07717795768435695,0.14856784376508891,-0.32429600549428766
BB&T CORPORATION,130781281,90059466,11413554,220516,60074,15003,2007,3,11634070,-45071,2007-09-01,9,0.6886265779886344,0.08727207680432493,0.12673352959920947,-0.003948901455234715
HANCOCK HOLDING COMPANY,5946677,3530991,315644,0,0,0,2007,3,315644,0,2007-09-01,9,0.5937754816681653,0.053079055748277565,0.089392468006857,0
STATE STREET CORPORATION,140085020,11310451,28962,19778,0,227500,2007,3,48740,227500,2007-09-01,9,0.0807399035243026,2.0674587475520223e-4,0.002560640596913421,7.855120502727712
UNIVEST CORPORATION OF PENNSYLVANIA,1952375,1371374,345071,0,0,0,2007,3,345071,0,2007-09-01,9,0.702413214674435,0.17674422178116397,0.25162428338294296,0
"COMMERCE BANCORP, INC.",50164333,17108395,2729564,5894,69085,0,2007,3,2735458,-69085,2007-09-01,9,0.34104699448510556,0.054412444794192716,0.15954529925220923,-0.025309902973515184
U.S. BANCORP,227628e3,153640000,34309000,541000,0,46e3,2007,3,34850000,46e3,2007-09-01,9,0.6749609011193702,0.15072398826154954,0.22330773236136423,0.0013407560698359031
WELLS FARGO & COMPANY,548727e3,393632000,72024000,1855000,833e3,1529e3,2007,3,73879000,696e3,2007-09-01,9,0.7173548959683048,0.13125652646944655,0.18297292903016016,0.009663445518160613
"POPULAR, INC.",4728e4,33321000,4796000,103000,33e3,0,2007,3,4899000,-33e3,2007-09-01,9,0.7047588832487309,0.10143824027072758,0.14393325530446266,-0.006880733944954129
FBOP CORPORATION,14400045,10158306,390046,1347,2e3,0,2007,3,391393,-2e3,2007-09-01,9,0.7054357121800661,0.02708644313264299,0.03839675630956579,-0.005127600334319542
"SUNTRUST BANKS, INC.",175857229,129423840,22591931,540877,303419,765419,2007,3,23132808,462e3,2007-09-01,9,0.7359597369750436,0.12846745697329282,0.17455772445014767,0.020449779171156285
"CITIZENS FINANCIAL GROUP, INC.",164201368,110873479,19229521,18383,5681,380,2007,3,19247904,-5301,2007-09-01,9,0.6752287167303015,0.1171093836441119,0.17343661598279964,-2.7566989318142664e-4
COMMERCEBANK HOLDING CORPORATION,5975269,2795225,395177,455315,0,5e4,2007,3,850492,5e4,2007-09-01,9,0.46779902293938563,0.06613543256378918,0.141375738983445,0.12652558220746654
MARSHALL & ILSLEY CORPORATION,60774554,44972764,11763312,0,0,0,2007,3,11763312,0,2007-09-01,9,0.7399933202307005,0.1935565335452729,0.2615652442442719,0
ASSOCIATED BANC-CORP,20940007,15237390,3436770,0,0,0,2007,3,3436770,0,2007-09-01,9,0.7276688111899867,0.16412458696885823,0.22554846991512326,0
NORTHERN TRUST CORPORATION,63098902,24912258,5877390,298527,0,270750,2007,3,6175917,270750,2007-09-01,9,0.39481286061047466,0.09314567787566255,0.23592361639799972,0.04606636619315717
LASALLE BANK CORPORATION,108890817,67253243,26767616,47421,0,7326965,2007,3,26815037,7326965,2007-09-01,9,0.6176208871681071,0.24582069211584665,0.3980122713190203,0.2737249742375264
COMERICA INCORPORATED,60284675,49695520,22398876,1429772,7075,5331,2007,3,23828648,-1744,2007-09-01,9,0.824347481345798,0.3715517417983924,0.4507222381413858,-7.786104981339242e-5
BANK LEUMI LE-ISRAEL CORPORATION,5722535,3398677,2252657,146198,1e4,0,2007,3,2398855,-1e4,2007-09-01,9,0.5939110901025507,0.39364669678735037,0.6628040852366965,-0.004439202239843882
TD BANKNORTH INC.,59472827,26666788,5146723,74,0,0,2007,3,5146797,0,2007-09-01,9,0.4483860839505746,0.08653906766530536,0.19300123434438374,0
UNIONBANCAL CORPORATION,54343045,39745341,11310520,1178393,0,0,2007,3,12488913,0,2007-09-01,9,0.7313786152395398,0.20813187777755185,0.2845747379548209,0
ABN AMRO NORTH AMERICA HOLDING COMPANY,109063250,67253391,26767616,47421,0,7326965,2007,3,26815037,7326965,2007-09-01,9,0.6166457628944672,0.2454320405819559,0.3980113954402686,0.2737249742375264
"AMERICAN CHARTERED BANCORP, INC.",2674939,1904533,543013,0,0,0,2007,3,543013,0,2007-09-01,9,0.7119911893317941,0.20300014318083515,0.28511608882597467,0
"JOHNSON FINANCIAL GROUP, INC.",4640548,3510278,736396,0,0,0,2007,3,736396,0,2007-09-01,9,0.756436093323461,0.15868729296626174,0.20978281492235087,0
BOK FINANCIAL CORPORATION,19951889,11740602,4759513,135,0,0,2007,3,4759648,0,2007-09-01,9,0.5884456353982322,0.23854949273224205,0.4053891785106079,0
CITIGROUP INC.,2358266e3,854724000,61547000,146271000,1670696e3,1836381e3,2007,3,207818000,165685e3,2007-09-01,9,0.36243748584765245,0.02609841298649092,0.07200804002227619,2.6920077339269177
"UTRECHT-AMERICA HOLDINGS, INC.",73509502,13499835,5356898,1477,0,2381e3,2007,3,5358375,2381e3,2007-09-01,9,0.1836474827431153,0.07287354497381848,0.3968121091850382,0.4444736487422385
TAUNUS CORPORATION,601332e3,59858000,5534000,51000,1037e3,755e3,2007,3,5585000,-282e3,2007-09-01,9,0.09954234931784771,0.009202902888919931,0.09245213672357913,-0.050957715937838814
"METLIFE, INC.",563077378,58400145,1199580,25383,1800644,4886572,2007,3,1224963,3085928,2007-09-01,9,0.10371602071358654,0.00213039991814411,0.02054070242462583,2.572507044132113
F.N.B. CORPORATION,6124174,4365735,705763,0,0,0,2007,3,705763,0,2007-09-01,9,0.7128691967275913,0.11524215347245195,0.1616596059999061,0
HSBC NORTH AMERICA HOLDINGS INC.,509865590,291766568,18887281,19423471,579126276,530434012,2007,3,38310752,-48692264,2007-09-01,9,0.572242123654589,0.03704364713060946,0.06473421930918419,-2.578045193482323
REGIONS FINANCIAL CORPORATION,138237249,95336444,14552163,45359,112876,62276,2007,3,14597522,-50600,2007-09-01,9,0.6896581398259741,0.10526947769338205,0.15264008588363123,-0.003477146318385796
"BANK OF NEW YORK MELLON CORPORATION, THE",184166e3,50914000,5643000,1098000,2e3,2076e3,2007,3,6741000,2074e3,2007-09-01,9,0.2764571093470022,0.03064083489894986,0.11083395529716777,0.3675349991139465
ZIONS BANCORPORATION,52947444,39128486,9821347,24201,396,0,2007,4,9845548,-396,2007-12-01,12,0.7390061359713606,0.18549237239856187,0.2510024793701448,-4.032033487870859e-5
JPMORGAN CHASE & CO.,1562147e3,555524000,98000000,42945000,3887874e3,4046565e3,2007,4,140945000,158691e3,2007-12-01,12,0.3556157006991019,0.06273417290434255,0.17641002008914106,1.619295918367347
"COMMERCE BANCSHARES, INC.",16212371,10844795,2538979,0,25389,0,2007,4,2538979,-25389,2007-12-01,12,0.6689209739895541,0.1566075066996678,0.23411959377747574,-0.009999688851305978
KEYCORP,99567393,75559216,20581539,400968,3328206,4346627,2007,4,20982507,1018421,2007-12-01,12,0.7588751068334189,0.20670963033048378,0.2723895255874545,0.04948225689050756
NATIONAL CITY CORPORATION,150383641,120322067,28594925,894401,853729,1384731,2007,4,29489326,531002,2007-12-01,12,0.8001007702692875,0.19014651334316343,0.23765320620697117,0.018569798661825482
"PNC FINANCIAL SERVICES GROUP, INC., THE",138976249,72300257,21134604,239368,1896e3,3927e3,2007,4,21373972,2031e3,2007-12-01,12,0.5202346265655796,0.15207349566615516,0.2923171351935858,0.09609832292102563
WACHOVIA CORPORATION,782896e3,485984000,72656000,9549000,20682e4,17549e4,2007,4,82205000,-3133e4,2007-12-01,12,0.6207516707199935,0.09280415278657701,0.14950286429182855,-0.4312100858841665
BANK OF AMERICA CORPORATION,1720688423,908519184,151697174,25181439,1517304702,1482210114,2007,4,176878613,-35094588,2007-12-01,12,0.5279974990568063,0.0881607454157899,0.16697189962694284,-0.23134635322870287
BB&T CORPORATION,132617601,91685699,12147417,211168,68821,10002,2007,4,12358585,-58819,2007-12-01,12,0.69135392518524,0.09159732123340099,0.1324897681153088,-0.004842099353302846
HANCOCK HOLDING COMPANY,6104172,3615514,337771,0,0,0,2007,4,337771,0,2007-12-01,12,0.5923021173059999,0.0553344499466922,0.09342267793735552,0
STATE STREET CORPORATION,142936851,15804167,50980,54731,0,237500,2007,4,105711,237500,2007-12-01,12,0.1105674771021785,3.5666099849926034e-4,0.003225731542826648,4.658689682228325
UNIVEST CORPORATION OF PENNSYLVANIA,1972505,1355442,352719,0,0,0,2007,4,352719,0,2007-12-01,12,0.6871678398787329,0.17881779767351666,0.2602243401045563,0
"COMMERCE BANCORP, INC.",49372382,17909475,3081042,6238,68912,0,2007,4,3087280,-68912,2007-12-01,12,0.3627427779360534,0.0624041594752305,0.1720341886068687,-0.022366459139472945
U.S. BANCORP,237615e3,158646000,36782000,555000,0,56e3,2007,4,37337000,56e3,2007-12-01,12,0.6676598699577047,0.15479662479220588,0.2318495266190134,0.001522483823609374
WELLS FARGO & COMPANY,575442e3,409958000,77521000,1941000,87e4,1879e3,2007,4,79462000,1009e3,2007-12-01,12,0.7124227984749114,0.13471557515787863,0.18909498046141313,0.013015827969195443
ZIONS BANCORPORATION,53597715,39943031,10024564,23081,460,0,2008,1,10047645,-460,2008-03-01,3,0.7452375721614252,0.1870334211075976,0.25097153994147314,-4.5887282479317806e-5
JPMORGAN CHASE & CO.,1642862e3,539418000,98526000,46039000,4017936e3,4171973e3,2008,1,144565000,154037e3,2008-03-01,3,0.3283404205587566,0.05997217051706108,0.18265241426871184,1.5634147331668797
"COMMERCE BANCSHARES, INC.",16777392,11264703,2805050,0,24947,0,2008,1,2805050,-24947,2008-03-01,3,0.6714215773226256,0.16719225491065595,0.24901233525642,-0.008893602609579151
KEYCORP,101596381,78117428,21372470,394179,3573206,4436195,2008,1,21766649,862989,2008-03-01,3,0.7688997111028985,0.21036644996242534,0.2735941331811385,0.04037853369311081
NATIONAL CITY CORPORATION,155046667,120403645,30472412,632816,842876,1406734,2008,1,31105228,563858,2008-03-01,3,0.7765639038212927,0.19653703358873234,0.25308546099248075,0.018503884759762373
"PNC FINANCIAL SERVICES GROUP, INC., THE",140026464,73340171,21855846,182131,1651e3,3956e3,2008,1,22037977,2305e3,2008-03-01,3,0.5237593588023476,0.15608368143896,0.29800647724151064,0.10546377385711814
WACHOVIA CORPORATION,808575e3,495404000,78079000,10242000,221921e3,216209e3,2008,1,88321000,-5712e3,2008-03-01,3,0.6126877531459667,0.09656370775747457,0.1576067209792412,-0.07315667465003393
BANK OF AMERICA CORPORATION,1743478291,904657989,152393048,29342284,1539924906,1507988798,2008,1,181735332,-31936108,2008-03-01,3,0.518881131855745,0.08740748237971607,0.1684537691072112,-0.20956407407770988
BB&T CORPORATION,136417064,93950544,12454146,162570,0,0,2008,1,12616716,0,2008-03-01,3,0.6887008211817255,0.0912946345187432,0.13256065872274247,0
HANCOCK HOLDING COMPANY,6446917,3661812,338817,0,0,0,2008,1,338817,0,2008-03-01,3,0.5679942831589114,0.05255488786345473,0.09252714230004162,0
STATE STREET CORPORATION,154478813,14903760,204892,23629,0,237500,2008,1,228521,237500,2008-03-01,3,0.09647769626505351,0.001326343697371626,0.013747671728476572,1.159147258067665
UNIVEST CORPORATION OF PENNSYLVANIA,2059572,1357887,360815,0,0,0,2008,1,360815,0,2008-03-01,3,0.6593054285065052,0.17518931117727374,0.26571798684279324,0
U.S. BANCORP,241781e3,163541000,38236000,525000,0,56e3,2008,1,38761000,56e3,2008-03-01,3,0.6764013714890749,0.1581431129824097,0.2338006982958402,0.0014645883460613035
WELLS FARGO & COMPANY,595221e3,416854000,81137000,2034000,1021e3,1952e3,2008,1,83171000,931e3,2008-03-01,3,0.7003348336164215,0.1363140749402323,0.19464128927634136,0.011474419808472091
"POPULAR, INC.",41822e3,27931000,4506000,74000,33e3,0,2008,1,4580000,-33e3,2008-03-01,3,0.6678542393955335,0.10774233656926976,0.1613261250939816,-0.007323568575233023
FBOP CORPORATION,16388722,12061192,567171,579,14500,0,2008,1,567750,-14500,2008-03-01,3,0.7359446331446711,0.03460739647667463,0.047024456620871305,-0.025565482015124187
"SUNTRUST BANKS, INC.",178986947,130690484,25161340,664846,313419,756419,2008,1,25826186,443e3,2008-03-01,3,0.730167680886808,0.14057639633352706,0.19252618270202443,0.01760637549510479
"CITIZENS FINANCIAL GROUP, INC.",161759026,111133549,17699895,21844,42518,0,2008,1,17721739,-42518,2008-03-01,3,0.6870315168688022,0.10942137473058226,0.1592668924844648,-0.0024021611427638414
MERCANTIL COMMERCEBANK HOLDING CORPORATION,6591555,3281058,552848,537323,5e3,19500,2008,1,1090171,14500,2008-03-01,3,0.4977669153940155,0.08387216673455657,0.16849686899774402,0.02622782392266952
ASSOCIATED BANC-CORP,21911667,15908935,3891143,0,88045,7500,2008,1,3891143,-80545,2008-03-01,3,0.7260485931992303,0.1775831569546945,0.24458852839614972,-0.02069957336443302
NORTHERN TRUST CORPORATION,77480291,26764633,6943429,298073,0,263750,2008,1,7241502,263750,2008-03-01,3,0.3454379514398055,0.08961542232720834,0.2594255262158835,0.03798555439970654
COMERICA INCORPORATED,67167320,52566267,24270835,1621917,28336,5648,2008,1,25892752,-22688,2008-03-01,3,0.7826167100310091,0.36134886727652676,0.46171882435555106,-9.347844851650139e-4
BANK LEUMI LE-ISRAEL CORPORATION,5765069,3656863,2446835,170311,1e4,0,2008,1,2617146,-1e4,2008-03-01,3,0.6343138304155597,0.42442423499181015,0.6691076477297618,-0.004086912276471442
