bankName,totalAssets,totalLoans,loansCI_US,loansCI_foreign,cdsSold,cdsBought,year,quarter,totalCI,cdsNetBuy,date,mon,leverage,loansCI_to_totalAssets,loansCI_to_totalLoans,netCDS_to_loansCI
HANCOCK HOLDING COMPANY,19355777,12906077,4292430,5434,0,0,2014,2,4297864,0,2014-06-01,6,0.6667816538700565,0.2217647992121422,0.3325898334559758,0
"COMMERCE BANCSHARES, INC.",710880,472546,78326,0,0,0,2014,2,78326,0,2014-06-01,6,0.6647338510015756,0.11018174656763448,0.16575317535224085,0
STATE STREET CORPORATION,282324972,16798280,1352151,66944,2071,1e4,2014,2,1419095,7929,2014-06-01,6,0.059499802234993224,0.004789342545299181,0.08049341956438397,0.0058639900425322316
UNIVEST CORPORATION OF PENNSYLVANIA,2197252,1596805,394803,0,0,0,2014,2,394803,0,2014-06-01,6,0.726728204138624,0.17968034617786216,0.2472455935446094,0
U.S. BANCORP,389065e3,245583000,57287000,1025000,2e5,255e3,2014,2,58312000,55e3,2014-06-01,6,0.6312132934085564,0.1472427486409726,0.2332694038268121,9.600782027336045e-4
WELLS FARGO & COMPANY,1598874e3,858575000,150427000,7504000,8045e3,9266e3,2014,2,157931000,1221e3,2014-06-01,6,0.536987279798158,0.09408308597175262,0.1752054275980549,0.00811689390867331
"POPULAR, INC.",36588e3,24126000,2037000,16000,0,0,2014,2,2053000,0,2014-06-01,6,0.6593965234503115,0.055673991472613975,0.08443173339965183,0
ZIONS BANCORPORATION,55458870,39848934,11668259,43515,125,0,2014,3,11711774,-125,2014-09-01,9,0.7185313007639715,0.21039482052194716,0.29281232466594964,-1.0712823566909168e-5
JPMORGAN CHASE & CO.,2526655e3,772611000,95901000,35900000,226258e4,229686e4,2014,3,131801000,3428e4,2014-09-01,9,0.30578412961009716,0.03795571615436219,0.12412585376081883,0.3574519556626104
"COMMERCE BANCSHARES, INC.",22710961,11446490,2652423,0,0,0,2014,3,2652423,0,2014-09-01,9,0.5040072940990916,0.11679043436338955,0.2317236987058915,0
